instance_name,solver_name,support_status,unsupported_constraint_families,notes
Early 13,cpsat_solver,partially_supported,BR1; BR2; Break; CA1; CA2; CA3; Capacity; GA1; Game; HARD; SOFT,models double round robin with explicit home/away legs; parsed constraint families are recorded but not enforced by the CP-SAT baseline
Early 13,random_baseline,partially_supported,BR1; BR2; Break; CA1; CA2; CA3; Capacity; GA1; Game; HARD; SOFT,diagnostic control baseline only; returns deterministic synthetic scores; does not construct a real schedule; does not enforce RobinX / ITC2021 constraints
Early 13,simulated_annealing_solver,unsupported,BR1; BR2; Break; CA1; CA2; CA3; Capacity; GA1; Game; HARD; SOFT,unsupported round-robin mode: double; simplified single round-robin search; does not model explicit home/away decisions; does not directly enforce RobinX / ITC2021 constraints
Early 13,timefold,not_configured,BR1; BR2; Break; CA1; CA2; CA3; Capacity; GA1; Game; HARD; SOFT,missing external solver executable; Python repository does not bundle or download a Timefold runtime
Early 14,cpsat_solver,partially_supported,BR1; BR2; Break; CA1; Capacity; FA2; Fairness; GA1; Game; HARD; SOFT,models double round robin with explicit home/away legs; parsed constraint families are recorded but not enforced by the CP-SAT baseline
Early 14,random_baseline,partially_supported,BR1; BR2; Break; CA1; Capacity; FA2; Fairness; GA1; Game; HARD; SOFT,diagnostic control baseline only; returns deterministic synthetic scores; does not construct a real schedule; does not enforce RobinX / ITC2021 constraints
Early 14,simulated_annealing_solver,unsupported,BR1; BR2; Break; CA1; Capacity; FA2; Fairness; GA1; Game; HARD; SOFT,unsupported round-robin mode: double; simplified single round-robin search; does not model explicit home/away decisions; does not directly enforce RobinX / ITC2021 constraints
Early 14,timefold,not_configured,BR1; BR2; Break; CA1; Capacity; FA2; Fairness; GA1; Game; HARD; SOFT,missing external solver executable; Python repository does not bundle or download a Timefold runtime
Early 15,cpsat_solver,partially_supported,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; FA2; Fairness; GA1; Game; HARD; SOFT,models double round robin with explicit home/away legs; parsed constraint families are recorded but not enforced by the CP-SAT baseline; parser warnings: duplicate_constraint_entries
Early 15,random_baseline,partially_supported,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; FA2; Fairness; GA1; Game; HARD; SOFT,diagnostic control baseline only; returns deterministic synthetic scores; does not construct a real schedule; does not enforce RobinX / ITC2021 constraints; parser warnings: duplicate_constraint_entries
Early 15,simulated_annealing_solver,unsupported,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; FA2; Fairness; GA1; Game; HARD; SOFT,unsupported round-robin mode: double; simplified single round-robin search; does not model explicit home/away decisions; does not directly enforce RobinX / ITC2021 constraints; parser warnings: duplicate_constraint_entries
Early 15,timefold,not_configured,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; FA2; Fairness; GA1; Game; HARD; SOFT,missing external solver executable; Python repository does not bundle or download a Timefold runtime
Early 2,cpsat_solver,partially_supported,BR1; BR2; Break; CA1; CA3; Capacity; FA2; Fairness; GA1; Game; HARD; SOFT,models double round robin with explicit home/away legs; parsed constraint families are recorded but not enforced by the CP-SAT baseline
Early 2,random_baseline,partially_supported,BR1; BR2; Break; CA1; CA3; Capacity; FA2; Fairness; GA1; Game; HARD; SOFT,diagnostic control baseline only; returns deterministic synthetic scores; does not construct a real schedule; does not enforce RobinX / ITC2021 constraints
Early 2,simulated_annealing_solver,unsupported,BR1; BR2; Break; CA1; CA3; Capacity; FA2; Fairness; GA1; Game; HARD; SOFT,unsupported round-robin mode: double; simplified single round-robin search; does not model explicit home/away decisions; does not directly enforce RobinX / ITC2021 constraints
Early 2,timefold,not_configured,BR1; BR2; Break; CA1; CA3; Capacity; FA2; Fairness; GA1; Game; HARD; SOFT,missing external solver executable; Python repository does not bundle or download a Timefold runtime
Early 3,cpsat_solver,partially_supported,BR1; BR2; Break; CA1; CA2; CA3; Capacity; FA2; Fairness; GA1; Game; HARD; SOFT,models double round robin with explicit home/away legs; parsed constraint families are recorded but not enforced by the CP-SAT baseline; parser warnings: duplicate_constraint_entries
Early 3,random_baseline,partially_supported,BR1; BR2; Break; CA1; CA2; CA3; Capacity; FA2; Fairness; GA1; Game; HARD; SOFT,diagnostic control baseline only; returns deterministic synthetic scores; does not construct a real schedule; does not enforce RobinX / ITC2021 constraints; parser warnings: duplicate_constraint_entries
Early 3,simulated_annealing_solver,unsupported,BR1; BR2; Break; CA1; CA2; CA3; Capacity; FA2; Fairness; GA1; Game; HARD; SOFT,unsupported round-robin mode: double; simplified single round-robin search; does not model explicit home/away decisions; does not directly enforce RobinX / ITC2021 constraints; parser warnings: duplicate_constraint_entries
Early 3,timefold,not_configured,BR1; BR2; Break; CA1; CA2; CA3; Capacity; FA2; Fairness; GA1; Game; HARD; SOFT,missing external solver executable; Python repository does not bundle or download a Timefold runtime
Early 4,cpsat_solver,partially_supported,BR1; BR2; Break; CA1; CA2; CA4; Capacity; GA1; Game; HARD; SE1; Separation; SOFT,models double round robin with explicit home/away legs; parsed constraint families are recorded but not enforced by the CP-SAT baseline; parser warnings: duplicate_constraint_entries
Early 4,random_baseline,partially_supported,BR1; BR2; Break; CA1; CA2; CA4; Capacity; GA1; Game; HARD; SE1; Separation; SOFT,diagnostic control baseline only; returns deterministic synthetic scores; does not construct a real schedule; does not enforce RobinX / ITC2021 constraints; parser warnings: duplicate_constraint_entries
Early 4,simulated_annealing_solver,unsupported,BR1; BR2; Break; CA1; CA2; CA4; Capacity; GA1; Game; HARD; SE1; Separation; SOFT,unsupported round-robin mode: double; simplified single round-robin search; does not model explicit home/away decisions; does not directly enforce RobinX / ITC2021 constraints; parser warnings: duplicate_constraint_entries
Early 4,timefold,not_configured,BR1; BR2; Break; CA1; CA2; CA4; Capacity; GA1; Game; HARD; SE1; Separation; SOFT,missing external solver executable; Python repository does not bundle or download a Timefold runtime
Early 5,cpsat_solver,partially_supported,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; GA1; Game; HARD; SE1; Separation; SOFT,models double round robin with explicit home/away legs; parsed constraint families are recorded but not enforced by the CP-SAT baseline; parser warnings: duplicate_constraint_entries
Early 5,random_baseline,partially_supported,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; GA1; Game; HARD; SE1; Separation; SOFT,diagnostic control baseline only; returns deterministic synthetic scores; does not construct a real schedule; does not enforce RobinX / ITC2021 constraints; parser warnings: duplicate_constraint_entries
Early 5,simulated_annealing_solver,unsupported,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; GA1; Game; HARD; SE1; Separation; SOFT,unsupported round-robin mode: double; simplified single round-robin search; does not model explicit home/away decisions; does not directly enforce RobinX / ITC2021 constraints; parser warnings: duplicate_constraint_entries
Early 5,timefold,not_configured,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; GA1; Game; HARD; SE1; Separation; SOFT,missing external solver executable; Python repository does not bundle or download a Timefold runtime
Early 6,cpsat_solver,partially_supported,BR2; Break; CA1; CA2; CA3; CA4; Capacity; FA2; Fairness; GA1; Game; HARD; SE1; Separation; SOFT,models double round robin with explicit home/away legs; parsed constraint families are recorded but not enforced by the CP-SAT baseline
Early 6,random_baseline,partially_supported,BR2; Break; CA1; CA2; CA3; CA4; Capacity; FA2; Fairness; GA1; Game; HARD; SE1; Separation; SOFT,diagnostic control baseline only; returns deterministic synthetic scores; does not construct a real schedule; does not enforce RobinX / ITC2021 constraints
Early 6,simulated_annealing_solver,unsupported,BR2; Break; CA1; CA2; CA3; CA4; Capacity; FA2; Fairness; GA1; Game; HARD; SE1; Separation; SOFT,unsupported round-robin mode: double; simplified single round-robin search; does not model explicit home/away decisions; does not directly enforce RobinX / ITC2021 constraints
Early 6,timefold,not_configured,BR2; Break; CA1; CA2; CA3; CA4; Capacity; FA2; Fairness; GA1; Game; HARD; SE1; Separation; SOFT,missing external solver executable; Python repository does not bundle or download a Timefold runtime
Early 7,cpsat_solver,partially_supported,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; GA1; Game; HARD; SE1; Separation; SOFT,models double round robin with explicit home/away legs; parsed constraint families are recorded but not enforced by the CP-SAT baseline; parser warnings: duplicate_constraint_entries
Early 7,random_baseline,partially_supported,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; GA1; Game; HARD; SE1; Separation; SOFT,diagnostic control baseline only; returns deterministic synthetic scores; does not construct a real schedule; does not enforce RobinX / ITC2021 constraints; parser warnings: duplicate_constraint_entries
Early 7,simulated_annealing_solver,unsupported,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; GA1; Game; HARD; SE1; Separation; SOFT,unsupported round-robin mode: double; simplified single round-robin search; does not model explicit home/away decisions; does not directly enforce RobinX / ITC2021 constraints; parser warnings: duplicate_constraint_entries
Early 7,timefold,not_configured,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; GA1; Game; HARD; SE1; Separation; SOFT,missing external solver executable; Python repository does not bundle or download a Timefold runtime
Early 8,cpsat_solver,partially_supported,BR1; Break; CA1; CA2; CA3; CA4; Capacity; FA2; Fairness; GA1; Game; HARD; SOFT,models double round robin with explicit home/away legs; parsed constraint families are recorded but not enforced by the CP-SAT baseline
Early 8,random_baseline,partially_supported,BR1; Break; CA1; CA2; CA3; CA4; Capacity; FA2; Fairness; GA1; Game; HARD; SOFT,diagnostic control baseline only; returns deterministic synthetic scores; does not construct a real schedule; does not enforce RobinX / ITC2021 constraints
Early 8,simulated_annealing_solver,unsupported,BR1; Break; CA1; CA2; CA3; CA4; Capacity; FA2; Fairness; GA1; Game; HARD; SOFT,unsupported round-robin mode: double; simplified single round-robin search; does not model explicit home/away decisions; does not directly enforce RobinX / ITC2021 constraints
Early 8,timefold,not_configured,BR1; Break; CA1; CA2; CA3; CA4; Capacity; FA2; Fairness; GA1; Game; HARD; SOFT,missing external solver executable; Python repository does not bundle or download a Timefold runtime
Early 9,cpsat_solver,partially_supported,BR1; BR2; Break; CA1; CA2; CA3; Capacity; FA2; Fairness; GA1; Game; HARD; SOFT,models double round robin with explicit home/away legs; parsed constraint families are recorded but not enforced by the CP-SAT baseline; parser warnings: duplicate_constraint_entries
Early 9,random_baseline,partially_supported,BR1; BR2; Break; CA1; CA2; CA3; Capacity; FA2; Fairness; GA1; Game; HARD; SOFT,diagnostic control baseline only; returns deterministic synthetic scores; does not construct a real schedule; does not enforce RobinX / ITC2021 constraints; parser warnings: duplicate_constraint_entries
Early 9,simulated_annealing_solver,unsupported,BR1; BR2; Break; CA1; CA2; CA3; Capacity; FA2; Fairness; GA1; Game; HARD; SOFT,unsupported round-robin mode: double; simplified single round-robin search; does not model explicit home/away decisions; does not directly enforce RobinX / ITC2021 constraints; parser warnings: duplicate_constraint_entries
Early 9,timefold,not_configured,BR1; BR2; Break; CA1; CA2; CA3; Capacity; FA2; Fairness; GA1; Game; HARD; SOFT,missing external solver executable; Python repository does not bundle or download a Timefold runtime
Late 1,cpsat_solver,partially_supported,BR1; Break; CA1; CA2; CA3; CA4; Capacity; FA2; Fairness; GA1; Game; HARD; SOFT,models double round robin with explicit home/away legs; parsed constraint families are recorded but not enforced by the CP-SAT baseline; parser warnings: duplicate_constraint_entries
Late 1,random_baseline,partially_supported,BR1; Break; CA1; CA2; CA3; CA4; Capacity; FA2; Fairness; GA1; Game; HARD; SOFT,diagnostic control baseline only; returns deterministic synthetic scores; does not construct a real schedule; does not enforce RobinX / ITC2021 constraints; parser warnings: duplicate_constraint_entries
Late 1,simulated_annealing_solver,unsupported,BR1; Break; CA1; CA2; CA3; CA4; Capacity; FA2; Fairness; GA1; Game; HARD; SOFT,unsupported round-robin mode: double; simplified single round-robin search; does not model explicit home/away decisions; does not directly enforce RobinX / ITC2021 constraints; parser warnings: duplicate_constraint_entries
Late 1,timefold,not_configured,BR1; Break; CA1; CA2; CA3; CA4; Capacity; FA2; Fairness; GA1; Game; HARD; SOFT,missing external solver executable; Python repository does not bundle or download a Timefold runtime
Late 10,cpsat_solver,partially_supported,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; GA1; Game; HARD; SE1; Separation; SOFT,models double round robin with explicit home/away legs; parsed constraint families are recorded but not enforced by the CP-SAT baseline
Late 10,random_baseline,partially_supported,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; GA1; Game; HARD; SE1; Separation; SOFT,diagnostic control baseline only; returns deterministic synthetic scores; does not construct a real schedule; does not enforce RobinX / ITC2021 constraints
Late 10,simulated_annealing_solver,unsupported,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; GA1; Game; HARD; SE1; Separation; SOFT,unsupported round-robin mode: double; simplified single round-robin search; does not model explicit home/away decisions; does not directly enforce RobinX / ITC2021 constraints
Late 10,timefold,not_configured,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; GA1; Game; HARD; SE1; Separation; SOFT,missing external solver executable; Python repository does not bundle or download a Timefold runtime
Late 11,cpsat_solver,partially_supported,BR1; BR2; Break; CA1; CA2; CA3; Capacity; FA2; Fairness; GA1; Game; HARD; SOFT,models double round robin with explicit home/away legs; parsed constraint families are recorded but not enforced by the CP-SAT baseline
Late 11,random_baseline,partially_supported,BR1; BR2; Break; CA1; CA2; CA3; Capacity; FA2; Fairness; GA1; Game; HARD; SOFT,diagnostic control baseline only; returns deterministic synthetic scores; does not construct a real schedule; does not enforce RobinX / ITC2021 constraints
Late 11,simulated_annealing_solver,unsupported,BR1; BR2; Break; CA1; CA2; CA3; Capacity; FA2; Fairness; GA1; Game; HARD; SOFT,unsupported round-robin mode: double; simplified single round-robin search; does not model explicit home/away decisions; does not directly enforce RobinX / ITC2021 constraints
Late 11,timefold,not_configured,BR1; BR2; Break; CA1; CA2; CA3; Capacity; FA2; Fairness; GA1; Game; HARD; SOFT,missing external solver executable; Python repository does not bundle or download a Timefold runtime
Late 12,cpsat_solver,partially_supported,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; HARD; SE1; Separation; SOFT,models double round robin with explicit home/away legs; parsed constraint families are recorded but not enforced by the CP-SAT baseline; parser warnings: duplicate_constraint_entries
Late 12,random_baseline,partially_supported,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; HARD; SE1; Separation; SOFT,diagnostic control baseline only; returns deterministic synthetic scores; does not construct a real schedule; does not enforce RobinX / ITC2021 constraints; parser warnings: duplicate_constraint_entries
Late 12,simulated_annealing_solver,unsupported,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; HARD; SE1; Separation; SOFT,unsupported round-robin mode: double; simplified single round-robin search; does not model explicit home/away decisions; does not directly enforce RobinX / ITC2021 constraints; parser warnings: duplicate_constraint_entries
Late 12,timefold,not_configured,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; HARD; SE1; Separation; SOFT,missing external solver executable; Python repository does not bundle or download a Timefold runtime
Late 13,cpsat_solver,partially_supported,BR2; Break; CA1; CA2; CA3; CA4; Capacity; FA2; Fairness; GA1; Game; HARD; SE1; Separation; SOFT,models double round robin with explicit home/away legs; parsed constraint families are recorded but not enforced by the CP-SAT baseline; parser warnings: duplicate_constraint_entries
Late 13,random_baseline,partially_supported,BR2; Break; CA1; CA2; CA3; CA4; Capacity; FA2; Fairness; GA1; Game; HARD; SE1; Separation; SOFT,diagnostic control baseline only; returns deterministic synthetic scores; does not construct a real schedule; does not enforce RobinX / ITC2021 constraints; parser warnings: duplicate_constraint_entries
Late 13,simulated_annealing_solver,unsupported,BR2; Break; CA1; CA2; CA3; CA4; Capacity; FA2; Fairness; GA1; Game; HARD; SE1; Separation; SOFT,unsupported round-robin mode: double; simplified single round-robin search; does not model explicit home/away decisions; does not directly enforce RobinX / ITC2021 constraints; parser warnings: duplicate_constraint_entries
Late 13,timefold,not_configured,BR2; Break; CA1; CA2; CA3; CA4; Capacity; FA2; Fairness; GA1; Game; HARD; SE1; Separation; SOFT,missing external solver executable; Python repository does not bundle or download a Timefold runtime
Late 14,cpsat_solver,partially_supported,BR1; Break; CA1; CA2; CA3; CA4; Capacity; FA2; Fairness; GA1; Game; HARD; SOFT,models double round robin with explicit home/away legs; parsed constraint families are recorded but not enforced by the CP-SAT baseline; parser warnings: duplicate_constraint_entries
Late 14,random_baseline,partially_supported,BR1; Break; CA1; CA2; CA3; CA4; Capacity; FA2; Fairness; GA1; Game; HARD; SOFT,diagnostic control baseline only; returns deterministic synthetic scores; does not construct a real schedule; does not enforce RobinX / ITC2021 constraints; parser warnings: duplicate_constraint_entries
Late 14,simulated_annealing_solver,unsupported,BR1; Break; CA1; CA2; CA3; CA4; Capacity; FA2; Fairness; GA1; Game; HARD; SOFT,unsupported round-robin mode: double; simplified single round-robin search; does not model explicit home/away decisions; does not directly enforce RobinX / ITC2021 constraints; parser warnings: duplicate_constraint_entries
Late 14,timefold,not_configured,BR1; Break; CA1; CA2; CA3; CA4; Capacity; FA2; Fairness; GA1; Game; HARD; SOFT,missing external solver executable; Python repository does not bundle or download a Timefold runtime
Late 15,cpsat_solver,partially_supported,BR1; BR2; Break; CA1; CA3; Capacity; FA2; Fairness; GA1; Game; HARD; SOFT,models double round robin with explicit home/away legs; parsed constraint families are recorded but not enforced by the CP-SAT baseline
Late 15,random_baseline,partially_supported,BR1; BR2; Break; CA1; CA3; Capacity; FA2; Fairness; GA1; Game; HARD; SOFT,diagnostic control baseline only; returns deterministic synthetic scores; does not construct a real schedule; does not enforce RobinX / ITC2021 constraints
Late 15,simulated_annealing_solver,unsupported,BR1; BR2; Break; CA1; CA3; Capacity; FA2; Fairness; GA1; Game; HARD; SOFT,unsupported round-robin mode: double; simplified single round-robin search; does not model explicit home/away decisions; does not directly enforce RobinX / ITC2021 constraints
Late 15,timefold,not_configured,BR1; BR2; Break; CA1; CA3; Capacity; FA2; Fairness; GA1; Game; HARD; SOFT,missing external solver executable; Python repository does not bundle or download a Timefold runtime
Late 2,cpsat_solver,partially_supported,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; GA1; Game; HARD; SOFT,models double round robin with explicit home/away legs; parsed constraint families are recorded but not enforced by the CP-SAT baseline; parser warnings: duplicate_constraint_entries
Late 2,random_baseline,partially_supported,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; GA1; Game; HARD; SOFT,diagnostic control baseline only; returns deterministic synthetic scores; does not construct a real schedule; does not enforce RobinX / ITC2021 constraints; parser warnings: duplicate_constraint_entries
Late 2,simulated_annealing_solver,unsupported,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; GA1; Game; HARD; SOFT,unsupported round-robin mode: double; simplified single round-robin search; does not model explicit home/away decisions; does not directly enforce RobinX / ITC2021 constraints; parser warnings: duplicate_constraint_entries
Late 2,timefold,not_configured,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; GA1; Game; HARD; SOFT,missing external solver executable; Python repository does not bundle or download a Timefold runtime
Late 3,cpsat_solver,partially_supported,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; FA2; Fairness; GA1; Game; HARD; SE1; Separation; SOFT,models double round robin with explicit home/away legs; parsed constraint families are recorded but not enforced by the CP-SAT baseline; parser warnings: duplicate_constraint_entries
Late 3,random_baseline,partially_supported,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; FA2; Fairness; GA1; Game; HARD; SE1; Separation; SOFT,diagnostic control baseline only; returns deterministic synthetic scores; does not construct a real schedule; does not enforce RobinX / ITC2021 constraints; parser warnings: duplicate_constraint_entries
Late 3,simulated_annealing_solver,unsupported,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; FA2; Fairness; GA1; Game; HARD; SE1; Separation; SOFT,unsupported round-robin mode: double; simplified single round-robin search; does not model explicit home/away decisions; does not directly enforce RobinX / ITC2021 constraints; parser warnings: duplicate_constraint_entries
Late 3,timefold,not_configured,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; FA2; Fairness; GA1; Game; HARD; SE1; Separation; SOFT,missing external solver executable; Python repository does not bundle or download a Timefold runtime
Late 4,cpsat_solver,partially_supported,BR1; Break; CA1; CA4; Capacity; GA1; Game; HARD; SE1; Separation; SOFT,models double round robin with explicit home/away legs; parsed constraint families are recorded but not enforced by the CP-SAT baseline
Late 4,random_baseline,partially_supported,BR1; Break; CA1; CA4; Capacity; GA1; Game; HARD; SE1; Separation; SOFT,diagnostic control baseline only; returns deterministic synthetic scores; does not construct a real schedule; does not enforce RobinX / ITC2021 constraints
Late 4,simulated_annealing_solver,unsupported,BR1; Break; CA1; CA4; Capacity; GA1; Game; HARD; SE1; Separation; SOFT,unsupported round-robin mode: double; simplified single round-robin search; does not model explicit home/away decisions; does not directly enforce RobinX / ITC2021 constraints
Late 4,timefold,not_configured,BR1; Break; CA1; CA4; Capacity; GA1; Game; HARD; SE1; Separation; SOFT,missing external solver executable; Python repository does not bundle or download a Timefold runtime
Late 5,cpsat_solver,partially_supported,BR2; Break; CA1; CA2; CA3; CA4; Capacity; FA2; Fairness; GA1; Game; HARD; SOFT,models double round robin with explicit home/away legs; parsed constraint families are recorded but not enforced by the CP-SAT baseline; parser warnings: duplicate_constraint_entries
Late 5,random_baseline,partially_supported,BR2; Break; CA1; CA2; CA3; CA4; Capacity; FA2; Fairness; GA1; Game; HARD; SOFT,diagnostic control baseline only; returns deterministic synthetic scores; does not construct a real schedule; does not enforce RobinX / ITC2021 constraints; parser warnings: duplicate_constraint_entries
Late 5,simulated_annealing_solver,unsupported,BR2; Break; CA1; CA2; CA3; CA4; Capacity; FA2; Fairness; GA1; Game; HARD; SOFT,unsupported round-robin mode: double; simplified single round-robin search; does not model explicit home/away decisions; does not directly enforce RobinX / ITC2021 constraints; parser warnings: duplicate_constraint_entries
Late 5,timefold,not_configured,BR2; Break; CA1; CA2; CA3; CA4; Capacity; FA2; Fairness; GA1; Game; HARD; SOFT,missing external solver executable; Python repository does not bundle or download a Timefold runtime
Late 6,cpsat_solver,partially_supported,BR1; BR2; Break; CA1; CA2; CA4; Capacity; GA1; Game; HARD; SE1; Separation; SOFT,models double round robin with explicit home/away legs; parsed constraint families are recorded but not enforced by the CP-SAT baseline; parser warnings: duplicate_constraint_entries
Late 6,random_baseline,partially_supported,BR1; BR2; Break; CA1; CA2; CA4; Capacity; GA1; Game; HARD; SE1; Separation; SOFT,diagnostic control baseline only; returns deterministic synthetic scores; does not construct a real schedule; does not enforce RobinX / ITC2021 constraints; parser warnings: duplicate_constraint_entries
Late 6,simulated_annealing_solver,unsupported,BR1; BR2; Break; CA1; CA2; CA4; Capacity; GA1; Game; HARD; SE1; Separation; SOFT,unsupported round-robin mode: double; simplified single round-robin search; does not model explicit home/away decisions; does not directly enforce RobinX / ITC2021 constraints; parser warnings: duplicate_constraint_entries
Late 6,timefold,not_configured,BR1; BR2; Break; CA1; CA2; CA4; Capacity; GA1; Game; HARD; SE1; Separation; SOFT,missing external solver executable; Python repository does not bundle or download a Timefold runtime
Late 7,cpsat_solver,partially_supported,BR1; BR2; Break; CA1; CA2; CA3; Capacity; GA1; Game; HARD; SE1; Separation; SOFT,models double round robin with explicit home/away legs; parsed constraint families are recorded but not enforced by the CP-SAT baseline
Late 7,random_baseline,partially_supported,BR1; BR2; Break; CA1; CA2; CA3; Capacity; GA1; Game; HARD; SE1; Separation; SOFT,diagnostic control baseline only; returns deterministic synthetic scores; does not construct a real schedule; does not enforce RobinX / ITC2021 constraints
Late 7,simulated_annealing_solver,unsupported,BR1; BR2; Break; CA1; CA2; CA3; Capacity; GA1; Game; HARD; SE1; Separation; SOFT,unsupported round-robin mode: double; simplified single round-robin search; does not model explicit home/away decisions; does not directly enforce RobinX / ITC2021 constraints
Late 7,timefold,not_configured,BR1; BR2; Break; CA1; CA2; CA3; Capacity; GA1; Game; HARD; SE1; Separation; SOFT,missing external solver executable; Python repository does not bundle or download a Timefold runtime
